doc_id	text	is_hate
0	Right.	0
0	Thanks, but I 'll pass .	0
0	I'm sure their failure to dig simple bloody pits for their ordure is our fault somehow .	0
0	Same here .	0
0	Please check out my add on this singles site and if you are interested send me a e-mail with your photo and I will get back to you. redbarron	0
0	Yes I fear that a civil war is our last and only option left in a world ruled by damn antifac 's	0
0	INTJ Introvert ( 11 % ) iNtuitive ( 38 % ) iNtuitive Thinking ( 38 % ) Judging ( 22 % ) You have slight preference of Introversion over Extraversion ( 11 % ) You have moderate preference of Intuition over Sensing ( 38 % ) You have moderate preference of Thinking over Feeling ( 38 % ) You have slight preference of Judging over Perceiving ( 22 % )	0
0	I never attacked you and i am not your son plus i dont care what you done.P M if you have a problem	0
0	If I were in the audience , I 'd clap till my hands were numb .	0
0	Just started reading Mein Kampf .	0
0	Check out this commercial that just aired on tonight 's show : http://www.myblackisbeautiful.com/ And for the record , `` My black is returned to sender ''	0
0	Thanks to everyone who listened to the radio show last night and apologies for the delay ( it was blocked by ubroadcast for a time ) .	0
0	Thanks !	0
0	It contradicts his statement that races dont exist .	0
0	( The Jews had the Romans murder Jesus for them by falsely accusing Jesus and by turning down a chance to pardon Jesus .	1
0	Don't bother with black culture , it 's not worth the effort .	1
0	Kalispell, Montana - YouTube Elliott shooting for the 1st time - YouTube Big Mountain with Grace and Dad - Shreddin ' the Pow - YouTube New years wheelin Montana - YouTube New years wheelin Wild Bill - YouTube Wild Bill New Years Wheelin - YouTube	0
0	You 're telling me that there 's something we Swedes have done right ?	0
0	This had me falling down laughing .	0
0	No further words are needed .	0
0	I support this 100 % !	0
0	WTF is wrong with the Irish ??	1
0	It is a tough one ..	0
0	This is the previous edition of that textbook `` Making Europe '' Amazon.com : Making Europe : People , Politics , and Culture since 1300 ( 9780618004829 ) : Frank L. Kidner , Maria Bucur , Ralph Mathisen , Sally McKee , Theodore R. Weeks : Books Amazon.com : Making Europe : People , Politics , and Culture since 1300 ( 9780618004829 ) : Frank L. Kidner , Maria Bucur , Ralph Mathisen , Sally McKee , Theodore R. Weeks : Books when you click on the picture to `` Look Inside '' the negro pops up .	0
0	She turns 7 tomorrow .	0
0	The capacity is lower .	0
0	The rounds I used to use in my 5.56 would cut through trees a foot thick and quarter inch steel like a hot knife through butter .	0
0	But you can put together something close .	0
0	I hope Labrat can get it back , I liked the site .	0
0	I was a substitute teacher for the Jackson Mississippi Public School System in the late 1990 's .	0
0	Thank you .	0
0	I can do server audits remotely without being on-site .	0
0	When I try and go there I get a `` Bad Request '' HTML page .	0
0	I was doing a Computer Science degree , but really disliked it so I 've left .	0
0	That's a shame I bought their home school publication years back .	0
0	I wonder how they 'll paint them up plus the 1million or more illegals who are working in the service industry living in their bosses ' cupboards .	1
0	War on Iran in February ( 1 ) ( 1/21/2012 ) In last December I learned that my brother and sisters would have a trip to India and Dubai between Feb. 2 to Feb 15 , 2012 .	0
0	I went to max for my crimes being of a violent and racial nature , i went to super max for violence within that maximum unit. there are people in Super maxs who only have a few years to do , it just all depends .	0
0	Thanks for posting , made my day	0
0	Disgusting !	0
0	Indeed they are , and if one does n't stop for a moment to consider the implications of that , they do n't see the obvious contraction in terms .	0
0	Again I would not pay to see this Drug addict perform no matter how could she was a singer .	0
0	Would this have been the same scenario in Greece if Greece was bordering Russia ? .	0
0	It's Mein Kampf and no he never said anything about killing every jew on the earth like the jews claim he wanted to do .	0
0	Accuracy is compromised .	0
0	I always told my boys what I was taught .	0
0	South Africa was a country founded by Europeans .	0
0	And hey , we have not talked about women 's mitochondriat at all ?	0
0	For all of liberals ' ranting about tribalism , they behave in a very tribal manner themselves .	1
0	Demarco Harris , a 13-year-old black boy , murders a 24-year-old woman sitting in her car , and tells the court he was forced to do it .	0
